skill_label,description
conduct environmental surveys,Conduct surveys in order to collect information for analysis and management of environmental risks within an organisation or in a wider context.
keep up to date on costume design,"Visit textile showrooms, read fashion magazines, keep up-to-date with trends and changes in the world of fabrics and designs."
ensure necessary ventilation in machining,"Turn on the ventilation systems, such as a vacuum pump or blower, of a manufacturing machine in order to remove noxious fumes, smoke, dust, or for other removal of debris from the surface of the workpiece."
inspect batches,Inspect batches ensuring that they have the correct colours and the correct mix.
investigate animal related incidents,"Investigate animal related incidents, such as suspected failure to meet the welfare needs of animals, abuse, harm or neglect, by gathering information, receiving and analysing reports, as well as taking appropriate action and cooperating with the respective law enforcement agencies."
person centred care,"The person centered care approach involves treating patients as equal partners in the planning and developing of care, patients and their needs being at the core of all decisions."
drive chipper truck,"Drive chipper trucks or vans, from which the machine is often controlled and operated. Use the vehicle for pickups of processed wood materials in forest job sites."
evaluate cultural venue programmes,Assist with the appraisal and evaluation of museum and any art facility programmes and activities.
ensure compliance with maintenance legislation,"Guarantee compliance with building regulations, licensing, legal requirements, electrical installations and health and safety procedures."
law enforcement,"The different organisations involved in law enforcement, as well as the laws and regulations in law enforcement procedures."
define database physical structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
asbestos removal regulations,"The legislation and regulations surrounding the removal of asbestos contamination from buildings or structures, the safe removal of contaminated materials and the regulations to avoid and prevent contamination."
maintain freight rate databases,Develop and maintain freight rate databases for use by supply chain departments in order to determine and adopt the most cost-efficient modes of transportation.
collaborate with coaching team,Collaborate as an specialist in a coaching team in order to maximise the sport practitioner's performance.
postediting,"The process of revising a translation, usually generated by a machine, and improving the accuracy of the text in the translated language."
animal welfare,"Universally recognized animal welfare needs as applied to species, situation and occupation. These are:

 
	 need for a suitable environment 
	 need for a suitable diet 
	 need to be able to exhibit normal behaviour patterns 
	 need to be housed with, or apart, from other animals 
	 need to be protected from pain, suffering, injury and disease. 
 
"
sell hair products,"Sell various styling products used on different types of hair, such as curling creams, hairspray, shampoos and conditioners."
otorhinolaryngology,Otorhinolaryngology is a medical specialty mentioned in the EU Directive 2005/36/EC.
electricity market,"The trends and major driving factors in the electricity trading market, electricity trades methodologies and practice, and the identification of the major stakeholders in the electricity sector."
metal and metal ore products,"The offered metal and metal ore products, their functionalities, properties and legal and regulatory requirements."
health care occupation-specific ethics,"The moral standards and procedures, ethical questions and obligations specific to occupations in a health care setting such as respect for human dignity, self-determination, informed consent and patient confidentiality."
yoga,"The practice and principles of yoga, used as physical techniques to relax the body and mind."
negotiate lawyer's fee,"Negotiate compensation for legal services in or out of court, such as hourly or flat-rate fees, with clients."
screed concrete,Smooth the surface of freshly poured concrete using a screed.
coordinate the ship crew,Coordinate the daily activities of the crew. Ensure that each member of the deck department understands and performs his/her assigned duties adequately. Assist the captain with training and orientation of new crew. Coordinate line-handling during manoeuvres. Monitor deck maintenance and safety. Plan each day's work to achieve the most from each deck crewmember.
pultrusion process,"The process where a cluster of fibre is coated in resin and forced through a mold, then cured with heat to produce a fibre-reinforced polymer."
use T-brace,"Use a T-brace, also known as a deadman, to hold up one end of a structural element while installing or working on the other end."
exert expenditure control,"Analyse expenditure accounts against the income and usages of different company units, companies, or organisms at large. Recommend usage of financial resources in efficient manners."
repair edge banding machinery,"Repair broken components or systems of edge banding machinery and equipment, using hand and power tools."
operate follow spots,Operate follow spots during a live performance based on visual cues or documentation.
calibrate precision instrument,Examine the precision instruments and assess whether the instrument meets the quality standards and production specifications. Correct and adjust the reliability by measuring output and comparing results with the data of a reference device or a set of standardised results.
ensure compliance with purchasing and contracting regulations,Implement and monitor company activities in compliance with legal contracting and purchasing legislations.
exchange money for chips,"Exchange legal tender for gaming chips, tokens or ticket redemption."
assemble toys,"Fit body parts and accessories together using different tools and techniques depending on the toy materials such as gluing, welding, screwing or nailing."
treat tooth decay,"Treat tooth decay by assessing the risk, extent and activity of tooth decay, and recommend and provide appropriate therapy, whether surgical or non-surgical."
Smalltalk (computer programming),"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Smalltalk."
calculate benefits,"Calculate the benefits which the people connected to the organisation are entitled to, such as employees or retired people, using the information of the person and the interplay between governmental benefits and benefits obtained through for example employment."
provide legal advice on investments,"Study corporate investments and their legal repercussions in order to advise organisations on the legal procedures, the drafting of the contracts, and tax efficiency operations."
conduct research on climate processes,Conduct research on the characteristic events occurring in the atmosphere during the interactions and transformations of various atmospheric components and conditions.
lead inspections,"Lead inspections and the protocol involved, such as introducing the inspection team, explaining the purpose of the inspection, performing the inspection, requesting documents, asking appropriate questions, and maintaining a high level of professionalism when investigating subjects."
penetration testing tool,"The specialised ICT tools which test security weaknesses of the system for potentially unauthorised access to system information such as Metasploit, Burp suite and Webinspect."
history of tobacco,"The different stages and developments of tobacco cultivation, cultural particularities and trading through time. "
theatre techniques,Understand techniques that facilitate a successful presentation of a play.
ensure products meet regulatory requirements,"Study, implement, and monitor the integrity and compliance of products with the required regulatory aspects by law. Advise on applying and abiding by regulations on the product and manufacturing regulations."
deliver group sessions on nutrition,"Deliver information on good nutrition, healthy eating habits, and nutrition monitoring to groups."
operate plastic machinery,"Operate machines and equipment used for creating plastic parts and products such as injection, extrusion, compression or blow moulding machines."
parts of a surface grinding machine,"The various compartments of machinery designed for grinding processes, such as the grinding wheel, wheel guard, table dog, saddle, table clamp, one-shot lubricator, and others."
perform government ceremonies,"Perform the ritual tasks and duties, according to traditions and regulations, as a representative of the government during an official government ceremonial event."
maintain furniture machinery,"Maintain machinery and equipment in order to ensure that it is clean and in safe, working order. Perform routine maintenance on equipment and adjust when necessary, using hand and power tools."
analyse election procedures,"Analyse the proceedings during elections and campaigns in order to monitor the voting behaviour of the public, identify ways in which the election campaign can be improved for politicians, and to predict the election outcomes."
hang wallpaper,Hang a pasted and soaked piece of wallpaper on the wall. Mark a straight line on the wall and hang the top piece of the paper. Unfold the rest of the paper and fix it as well. Work out any air bubbles with your fingertips or a brush and inspect the finished result.
respiratory medicine,Respiratory medicine is a medical specialty mentioned in the EU Directive 2005/36/EC.
online moderation techniques,The strategies and methods used to interact online and moderate online users and groups.
maintain workshop space,Keep your workshop space in working order and clean.
hydraulic fluid,"The various types, qualities and applications of hydraulic fluids used in metalworking processes such as forging and moulding, consisting out of mineral oils and water."
blood type classification,"The classification of blood types such as group A, B, AB, 0 and their characteristics."
energy,"Power capacity in the form of mechanical, electrical, heat, potential, or other energy from chemical or physical resources, which can be used to drive a physical system."
perform religious ceremonies,"Perform the ritual acts and apply the traditional religious texts during ceremonial events, such as funerals, confirmation, baptism, birth rites and other religious ceremonies."
disseminate general corporate information,"Answer questions, resolve doubts, and solve inquiries in regard to general institutional and corporate information such as program rules, regulations and procedures. Assist with information to both, employees and public at large."
supervise sales activities,"Monitor and oversee the activities related to the ongoing sales in the shop to ensure that sales goals are met, assess areas for improvement, and identify or solve problems that customers could encounter."
comply with air traffic control operations,Act in compliance with instruction provided by air traffic controllers.
assess users' interaction with ICT applications,"Evaluate how users interact with ICT applications in order to analyse their behaviour, draw conclusions (for instance about their motives, expectations and goals) and improve applications' functionalities."
read scripts,"Read a playbook or film script, not only as literature, but identifying, actions, emotional states, evolution of characters, situations, different sets and locations, etc."
use equipment for hair care,"Use tools to cut, trim or shave hair, such as scissors, clippers, razors and combs."
communicate production plan,"Communicates production plan to all levels in a way that targets, processes, and requirements are clear. Ensures that information is passed to everyone involved in the process assuming their responsibility for overall success."
maintain trusts,"Handle the money meant for investing into a trust and ensure it is placed into the trust, as well as ensure that the due outgoing payments are made to the beneficiaries compliant with the terms of the trust."
fish harvesting methods,Knowledge of up-to-date fish harvesting methods.
curriculum objectives,The goals identified in curricula and defined learning outcomes.
monitor interventions in the outdoors,"Monitor, demonstrate and explain the use of equipment according to the operational guidelines issued by manufacturers."
test microelectromechanical systems,"Test microelectromechanical systems (MEMS) using appropriate equipment and testing techniques, such as thermal shock tests, thermal cycling tests, and burn-in tests. Monitor and evaluate system performance and take action if needed."
analyse texts to be illustrated,Analyse texts to be illustrated; researching and checking sources.
identify plants characteristics,"Identify and classify crop characteristics. Be able to recognise different types of bulbs by name, graded sizes, field markings and stock markings."
apply standard feeding and nutrition protocols,Make up feed on-site. Feed animals by hand or with feeding machines according to agreed protocols. Monitor animal feeding behaviour.
analyse bestsellers,Thoroughly analyse every aspect of best-selling products; develop strategies to ensure that bestsellers reach their full sales potential.
create moving images,Create and develop two-dimensional and three-dimensional images in motion and animations.
principles of mechanical engineering,"Understand principles of mechanical engineering, physics, and materials science."
research outdoor activities,"Describe and interpret the culture, history, natural and geography of the working place. Describe and interpret international designations such as specific areas of conservation. Identify and locate information about activity equipment."
printed circuit boards testing methods,"Printed circuit board (PCB) testing methods consist of those processes in which PCB components or systems are tested, such as the in-circuit test (ICT), joint test action group (JTAG) test, and automated optical inspection (AOI)."
mechanical systems,"Mechanical systems, including gears, engines, hydraulic and pneumatic systems. Their functions and likely defects."
metal eroding technology,"The various eroding technology and techniques, automated or otherwise, such as electrical discharge machining, die sinking, wire eroding and others."
milling machines,Milling and mills and their operation in theory and practice.
hazardous waste treatment,"The methods applied in the treatment and disposal of hazardous waste such as asbestos, dangerous chemicals, and various contaminants, as well as the surrounding environmental regulations and legislation."
prepare containers for beverage fermentation,Prepare containers for beverage fermentation according to the type of beverage to be produced. This includes the qualities that the different kinds of containers can give to the final product.
maintain database,Maintain a freelance database that offers extra support to your teams and is able to calculate negotiating costs.
use methods of logistical data analysis,"Read and interpret supply chain and transportation data. Analyse the reliability and availability of findings by using methods such as data mining, data modelling and cost-benefit analysis."
treat wood,Apply different chemicals to wood in order to increase its natural resistance and prevent deterioration.
pedagogy,The discipline that concerns the theory and practice of education including the various instructional methods for educating individuals or groups.
perform software unit testing,Test single units of source code to determine whether or not they are suitable for use by creating short code fragments.
types of perforating machines,"The different kinds of perforating machines, such as crown perforators, punching machines, and sweatband perforators."
manage operations in healthcare institutions,"Plan, organise and monitor the workflow in institutions providing of medial care to individuals such as hospitals, rehabilitation facilities or elderly care institutions."
meet the requirements of social security reimbursement bodies,Ensure that the sessions are compliant with the requirements of the national social security bodies and that reimbursements are acceptable.
software anomalies,"The deviations of what is standard and exceptional events during software system performance, identification of incidents that can alter the flow and the process of system execution."
transfer quicklime,Transfer the quicklime through the conveyors.
operate electronic payment terminals,Operate electronic payment terminals to collect credit or debit card payments from the travellers.
clean wood surface,"Use a variety of techniques on a wood surface to ensure it is free of dust, sawdust, grease, stains, and other contaminants."
develop an artistic approach to your interpretation,Contribute as a performer to the development of an artistic approach or creative project. Analyse and evaluate your own practice and expertise in general and in relation with the artistic proposal.  Analyse the artistic approach proposed and describe your artistic vision for the creation of your role. Identify the components of the show developing the choreographer's or director's artistic intent and comprehending the character of the work. Participate in the creative process helping to prepare a production of the work. 
estimate cost of building materials,"Estimate the total cost of building materials required, take into account tendering procedures."
clear drill sites,Clear drill site e.g. by cutting down surrounding trees; make way for new roads to drill site.
carry out calculations in hospitality,Have the ability to make simple calculations regarding the cleaning of linen and uniforms.
Incremental development,The incremental development model is a methodology to design software systems and applications.
assist equipment operation,"Assists with snow removal. Operate snow equipment such as plough trucks, brush skid steers, front loaders, snow blowers and shovels."
manage packaging development cycle from concept to launch,"Manage the packaging development cycle from concept to launch in order to ensure compliance with financial, operative, and commercial variables."
write musical scores,"Write musical scores for orchestras, ensembles or individual instrumentalists using knowledge of music theory and history. Apply instrumental and vocal capabilities."
conduct literature research,Conduct a comprehensive and systematic research of information and publications on a specific topic. Present a comparative evaluative literature summary.
install coffered ceiling,Attach a pattern of beams with or without decorative elements to a ceiling to create a coffered ceiling. Finish according to plan.
negotiate artistic productions,"Negotiate the terms for artistic productions with the selected companies, keeping within the budgetary limits prepared by the business leadership."
make clinical decisions,Respond to an information need by collecting and analysing available findings to inform clinical decisions. 
colour grading,"The process and techniques for adjusting the colour composition of recorded motion pictures, video images or still images either by hand in a photographic laboratory or digitally."
clean negatives,Clean photographic negatives and film negatives after development with a lint-free cloth to remove any dust or debris.
food labels,The utility of food labels; their meaning and role in encouraging a healthful diet.
assess customer credibility,Communicate with customers to assess whether their true intentions are in line with what they claim in order to eliminate any risks from a potential agreement with the customer.
cultural projects,"The purpose, organisation and management of cultural projects and related fundraising actions."
timing devices,"All mechanical and electric instruments that indicate time, such as clocks, watches, pendulums, hairsprings, and chronometers."
mechanotherapy,The medical treatments provided by manual means such as massage or other types of mechanical devices.
control engineering,Subdiscipline of engineering that focuses on controlling the behaviour of systems through the use of sensors and actuators.
install ventilation equipment,Install equipment to enable the ventilation of a structure. Mount fans and install air inlets and outlets. Install ducts to permit the transfer of air. Configure the ventilation system if it is electronically controlled.
administer additives to tobacco,"Administer additives to tobacco, including flavouring. Use adequate quantities and equipment for these procedures, and take into account regulations for additives and other products in the tobacco."
tune a projector,Focus and tune a projector.
coordinate coremaking shifts,Manage coordination of all activities across each coremaking shift.
work in a forestry team,Collaborate with other forest workers in a team in service of forestry or forest related operations.
provide support in financial calculation,"Provide colleagues, clients or other parties with financial support for complex files or calculations."
communicate by use of interpretation in social services,Communicate through the help of an interpreter to facilitate verbal communication and cultural mediation.
characteristics of precious metals,"Variations of precious metals according to density, corrossion resistance, electrical conductivity, light reflectivity and quality."
calculate costs for animal embryo transfer,"Calculate costs related to the transfer of the animal embryo, such as shipping costs, animal boarding costs, and drug costs.'"
translate keywords into full texts,"Draft e-mails, letters and other written documents on the basis of keywords or key concepts outlining the content. Choose the appropriate format and language style according to the type of document."
tram network,Know the tram system in order to determine how to maintain tram services while causing minimal disruption to customers in the event of incidents.
comply with the planned time for the depth of the dive,Ensure that a diver returns from a given depth after the planned time limit has expired.
formulate game rules,Compose a series of rules as to how to play a game.
assist emergency services,Assist the police and emergency services where needed.
maintain cores,"Clean and repair cores, e.g. by smoothing out imperfections on the surface."
screen clients of escort services,Evaluate personal information and appearance of the client in order to verify that they do not pose a threat.
organise event participants' registration,Organise the official registration of event participants.
vessel stability principles,Thoroughly understand the principles of vessel stability; follow safety requirements during loading and unloading of cargo.
waste and scrap products,"The offered waste and scrap products, their functionalities, properties and legal and regulatory requirements."
maintain sound equipment,"Set up, check, maintain and repair sound equipment for a live performance establishment."
provide technical documentation,"Prepare documentation for existing and upcoming products or services, describing their functionality and composition in such a way that it is understandable for a wide audience without technical background and compliant with defined requirements and standards. Keep documentation up to date."
identify indicators of problem gambling,"Recognise and react adequately to signs of problem gambling, such as obsession, undue persistence in the face of mounting losses, irrational behaviour, and borrowing money."
set up furniture in the building,Move and arrange pieces of furniture such as chairs and tables in order to restore the initial appearance after an event or meeting or to prepare specific seminars or meetings.
use body modification techniques,"Use techniques to change the shape of or create patterns in the human skin, such as cutting, branding, manipulating, stretching or scarring, by use of scalpels, heat and restraining techniques."
assist in planning production scheduling,Contribute to the planning of the production schedule with information on previous periods of production as to avoid waste and increase efficiency.
train medical staff on nutrition,"Provide training on nutrition to nurses and other medical staff, as well as catering staff."
draw up stage layouts digitally,Draw and design stage settings and layouts using software like CAD.
rinse photographic film,Make sure the film dries uniformly by rinsing it in a dilute solution of a non-ionic wetting agent.
IBM InfoSphere Information Server,"The software program IBM InfoSphere Information Server is a platform for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company IBM."
tend tunnel kiln,"Tend the tunnel kiln and the preheating chamber in order to perform the preheating and baking of clay products such as bricks, ceramics or sewer pipes."
perform routine maintenance on railway engines,"Perform routine tasks to maintain railway engines, such as replacing oil and lubricating engines."
adjust eyeglasses to fit customers,Shape and bend plastic or metal eyeglass frames in order to adjust eyeglasses to fit customers using pliers and hands and applying heat if necessary.
solve operational transport problems,Communicate with clients and providers in the event of a delay; undertake measures to provide solutions. Take decisions and work proactively in order to avoid operational problems. 
maintain gas mileage records,Keep records of vehicle mileage and fuel consumption.
ensure compliance with radiation protection regulations,Make sure the company and the employees implement the legal and operational measures established to guarantee protection against radiation.
music literature,"Literature about music theory, specific music styles, periods, composers or musicians, or specific pieces. This includes a variety of materials such as magazines, journals, books and academic literature."
