skill_label,c_layer1,c_layer2,c_layer3
screed concrete,5,1,5
coordinate the ship crew,1,2,0
pultrusion process,5,0,3
use T-brace,5,1,2
exert expenditure control,2,4,1
repair edge banding machinery,5,0,2
operate follow spots,4,1,1
calibrate precision instrument,3,5,2
ensure compliance with purchasing and contracting regulations,6,3,1
exchange money for chips,4,4,0
assemble toys,5,2,1
treat tooth decay,0,1,0
Smalltalk (computer programming),10,3,0
calculate benefits,2,1,1
provide legal advice on investments,2,1,2
conduct research on climate processes,3,5,3
lead inspections,3,1,2
penetration testing tool,10,2,0
history of tobacco,1,0,2
theatre techniques,4,3,2
ensure products meet regulatory requirements,2,3,1
deliver group sessions on nutrition,0,1,7
operate plastic machinery,5,2,1
parts of a surface grinding machine,5,4,1
perform government ceremonies,2,0,2
maintain furniture machinery,5,2,0
analyse election procedures,2,0,3
hang wallpaper,5,1,2
respiratory medicine,0,1,6
online moderation techniques,2,2,1
maintain workshop space,4,1,2
hydraulic fluid,3,4,2
blood type classification,0,1,2
energy,3,0,2
perform religious ceremonies,2,0,4
disseminate general corporate information,2,1,0
supervise sales activities,2,2,0
comply with air traffic control operations,1,5,0
assess users' interaction with ICT applications,10,0,1
read scripts,4,3,2
use equipment for hair care,6,4,0
communicate production plan,3,0,3
maintain trusts,2,4,1
fish harvesting methods,8,4,2
curriculum objectives,7,2,1
monitor interventions in the outdoors,1,6,0
test microelectromechanical systems,3,3,1
analyse texts to be illustrated,4,5,0
identify plants characteristics,8,2,1
apply standard feeding and nutrition protocols,8,4,0
analyse bestsellers,6,3,2
create moving images,4,3,0
principles of mechanical engineering,3,4,0
research outdoor activities,1,6,0
printed circuit boards testing methods,3,1,0
mechanical systems,5,1,3
metal eroding technology,5,4,1
milling machines,1,0,0
hazardous waste treatment,3,5,1
prepare containers for beverage fermentation,1,0,1
maintain database,3,2,2
use methods of logistical data analysis,3,5,2
treat wood,5,2,1
pedagogy,0,1,0
perform software unit testing,10,0,1
types of perforating machines,5,3,1
manage operations in healthcare institutions,0,1,2
meet the requirements of social security reimbursement bodies,0,3,0
software anomalies,10,3,1
transfer quicklime,5,0,5
operate electronic payment terminals,1,1,3
clean wood surface,5,2,1
develop an artistic approach to your interpretation,4,2,2
estimate cost of building materials,6,0,0
clear drill sites,5,1,1
carry out calculations in hospitality,1,3,1
Incremental development,10,2,1
assist equipment operation,8,0,1
manage packaging development cycle from concept to launch,1,4,1
write musical scores,4,2,0
conduct literature research,3,3,3
install coffered ceiling,5,1,2
negotiate artistic productions,4,5,0
make clinical decisions,0,1,0
colour grading,4,3,2
clean negatives,4,5,1
food labels,0,1,7
assess customer credibility,2,4,0
cultural projects,6,0,3
timing devices,6,4,1
mechanotherapy,0,1,6
control engineering,3,3,0
install ventilation equipment,3,1,1
administer additives to tobacco,1,0,2
tune a projector,4,1,0
coordinate coremaking shifts,5,0,6
work in a forestry team,8,2,2
provide support in financial calculation,2,4,2
communicate by use of interpretation in social services,0,0,1
characteristics of precious metals,6,0,4
calculate costs for animal embryo transfer,8,3,1
translate keywords into full texts,2,1,0
tram network,1,1,3
comply with the planned time for the depth of the dive,5,1,1
formulate game rules,10,1,2
assist emergency services,1,7,0
maintain cores,5,0,6
screen clients of escort services,1,3,2
organise event participants' registration,2,0,1
vessel stability principles,1,2,2
waste and scrap products,3,5,1
maintain sound equipment,4,1,3
provide technical documentation,10,3,1
identify indicators of problem gambling,2,3,2
set up furniture in the building,1,3,0
use body modification techniques,4,6,0
assist in planning production scheduling,2,3,3
train medical staff on nutrition,0,1,7
draw up stage layouts digitally,4,1,1
rinse photographic film,4,5,1
IBM InfoSphere Information Server,10,0,0
tend tunnel kiln,5,0,5
perform routine maintenance on railway engines,1,1,4
adjust eyeglasses to fit customers,0,1,0
solve operational transport problems,8,4,2
maintain gas mileage records,1,1,5
ensure compliance with radiation protection regulations,3,5,1
music literature,7,3,1
conduct shelf studies,1,4,2
fabric types,6,0,2
microprocessors,3,3,2
plan nursing care in a specialised field,0,1,0
repair slitting machinery,5,0,2
maintain chain hoists,4,1,2
record survey measurements,3,5,3
improve customer interaction,6,1,0
develop zoonotic disease control policies,8,3,2
develop strategies for accessibility,2,3,4
toys and games safety recommendations,6,0,5
advise on legislative acts,2,0,5
determine suitability of materials,3,4,1
quality criteria for livestock feed production,8,3,3
check quality of products in textile production line,9,2,0
legal case management,2,1,2
plan customers' sales visits,6,1,0
energy market,3,0,2
prepare trial accounting balances,2,4,1
oversee pre-assembly operations,3,5,2
e-learning,7,3,2
adjust burner controls,5,0,5
monitor museum environment,4,6,1
preparation for child delivery,0,1,4
hire post-production team,4,3,2
motion capture,4,3,0
repair maritime communication equipment,1,2,2
train crew members,5,1,1
carry out job analysis,2,1,1
Spiral development,10,2,1
use electronic health records management system,0,1,2
analog electronics theory,10,2,2
inspect fish stock,8,4,1
recruit animal handlers,8,3,0
prepare fish treatment plan,8,4,1
remove predators,8,2,0
hotel operations,7,2,2
provide emergency supplies,1,7,1
prepare audit activities,3,1,2
transcreation,10,4,0
tend nibbling machine,5,4,2
illegal substances,1,7,0
direct community arts activities,4,2,2
assess groundwater environmental impact,2,3,1
health records management,0,1,2
adhere to traffic regulations on inland waterways,1,2,2
assemble goods,1,1,0
define prop materials,4,1,2
"risks associated to physical, chemical, biological hazards in food and beverages",1,4,3
inspect timber,8,2,3
work with different target groups,7,3,3
deliver aquatic products to customer specifications,8,4,2
customs law,2,1,2
log emergency call information electronically,0,1,4
animal recovery procedures,8,3,1
provide information on school services,0,0,1
process returned timber products,8,2,2
history of dance style,4,5,2
select fruits and vegetables,8,0,1
show social competences,6,4,0
establish site security routines,2,3,2
keep food laboratory inventory,1,4,3
football,7,3,3
cut carpet,5,1,2
e-commerce systems,6,1,1
centrifugal force,1,0,3
C++,10,3,0
electrical wiring diagrams,3,1,0
install electrical mining machinery,3,5,0
perform oil tests,3,5,0
perform metal work,5,2,2
execute flight plans,1,5,1
advise contractors,8,2,2
human anatomy,0,1,1
synthetic materials,3,0,3
smoke sensors,5,1,0
analyse information processes,4,4,1
use non-destructive testing equipment,3,4,0
solve bank account problems,2,4,0
make logistical arrangements,2,0,1
develop competitive strategies in sport,7,3,3
direct photographic workers,4,5,1
stop speeding vehicles,1,7,2
use therapeutic communication techniques,0,3,0
perform safety inspections on spraying equipment,8,0,0
advise customers on the preparation of beverages,6,0,0
inform about the legal aspects of the medical device presented,3,1,1
perform HACCP inspections for aquatic organisms,8,4,2
process harvested honey,8,3,3
utilise advanced clinical skills,0,1,8
conditions for the professional practice of psychotherapy,0,3,1
perform environmental remediation,3,5,1
teach engineering principles,7,1,1
assess chiropractic intervention,0,1,8
record archaeological finds,3,5,3
analyse claim files,2,4,0
3D lighting,10,1,2
analyse road traffic patterns,3,5,2
mass spectrometry,3,2,0
teach principles of architectural design,7,1,1
perform therapy sessions,0,3,2
follow work procedures,1,1,5
perform tests for illegal substances,1,7,0
create original drawings,4,6,2
tend ion-exchange equipment,1,1,6
decide upon a psychotherapeutic approach,0,3,1
legal environment in music,4,2,0
transfer oxygen,3,2,0
monitor ticketing,6,0,3
manufacturing of children clothing,9,0,1
tend clay extrusion machine,5,0,1
carry out active selling,6,1,1
development trends in radiography,0,1,3
swimming pool chemicals,1,7,0
3D texturing,10,1,2
monitor fermentation,1,0,1
physico-chemical properties of crust leather,9,1,1
wax imperfections,5,0,7
mitigate environmental impact of pipeline projects,3,0,0
moor vessels,1,2,2
public service concession,2,1,3
commodities in maritime transportation,1,2,1
remove snow,1,3,0
hunt animals,8,2,0
dye fabrics,4,1,2
review completed contracts,6,1,0
synchronise with mouth movements,4,3,1
transport physical resources within the work area,8,0,2
work in shifts,8,4,3
combination of flavours,1,4,1
thermal materials,3,4,2
maintain landscape site,8,0,2
operate lacquer spray gun,5,4,3
prepare production reports,5,3,1
lead a team in forestry services,8,2,2
adjust the varnish mixture,5,0,4
communicate with stakeholders to anticipate increases in demand for transport,1,1,2
supervise dental staff,0,1,0
lead clinical pharmacology studies,3,2,2
tai chi,0,1,1
ensure information transparency,2,0,5
set equipment controls,3,5,0
use wood chisel,5,2,1
organise workshop space,4,1,2
apply system organisational policies,10,2,2
collect oil samples,3,5,0
adjust projector,4,1,1
tend fans for machines,1,0,0
inform clients of healthy lifestyle benefits,0,1,1
inspect pipelines,3,0,0
select spraying pressure,5,4,1
forecast human population trends,3,2,1
maintain emergency vehicle equipment,0,1,4
advise on heating systems energy efficiency,3,0,2
solid-state chemistry,3,2,0
operate rotary press,5,3,0
pour terrazzo,5,1,2
attend to ICT systems quality,10,2,3
teach veterinary science,7,1,1
maintain aquaculture ponds,8,4,0
operate fishing equipment,7,2,0
monitor well operations,3,5,0
monitor processing environment conditions,5,0,3
carry out ship-to-shore operations,1,2,1
taste wines,1,0,1
provide athletic equipment to clients,1,3,0
crimp wire,3,1,0
human factors regarding safety,3,5,1
types of toilets,5,1,0
train religious professionals,2,0,4
leather goods quality,9,3,0
harmonise body movements,4,3,1
inform on the risks of substance and alcohol abuse,0,0,1
guide lift car installation,5,1,6
supervise court hearings,2,1,2
types of heat sealing,5,4,3
maintain mechatronic equipment,3,3,0
prepare graves,8,0,3
plan animal breeding programmes,8,3,1
set sales goals,6,3,1
choose proper primer coat,5,4,1
assess contamination,3,5,1
test ground system performance,1,5,2
check the potential of second-hand merchandise,6,0,0
use mathematical tools for managing vehicles,6,1,0
preserve regional sweet traditions,1,0,0
study the relationships between quantities,3,2,1
pour mix into rubber pouches,5,0,4
manage securities,2,4,2
comply with quality standards related to healthcare practice,0,1,0
clear accident site,5,1,3
advise on potential safety hazards concerning heating systems,3,0,2
provide healthcare services to patients in general medical practice,0,1,6
types of polymers,5,3,1
monitor infrastructure,1,7,0
monitor developments used for food industry,1,4,3
CAE software,3,3,0
room aesthetics,4,3,3
building construction principles,2,4,0
evaluate pharmaceutical manufacturing process,3,2,0
ensure maintenance of railway machinery,3,4,0
medicines,0,1,0
apply scientific methods,3,2,1
pipeline coating properties,3,0,0
research new cooking methods,1,4,2
prepare road directions,4,3,3
protect client interests,2,4,2
develop communication networks with shipping sites,1,1,0
respond to changing navigation circumstances,1,5,0
stay abreast of wine trends,1,0,1
recommend books to customers,6,0,6
treat neurological disorders,0,1,8
assemble machines,3,1,1
"operate presses, dryers and control systems",1,0,0
ferrous metal processing,5,4,1
check carriages,1,1,3
obtain pyrotechnic permits,4,1,2
ensure safe operation of railway during repairs,1,1,4
variety of tobacco leaves,1,0,2
respond to incidents in music therapy sessions,0,3,0
perform basket weaving,5,2,1
perform metal inert gas welding,3,4,0
follow written instructions,1,0,3
advise customers on motor vehicles,6,0,1
operate testbeds,3,1,2
IBM InfoSphere DataStage,10,0,0
shape sheet metal objects,5,1,1
local waters of the port,1,2,0
guide concrete hose,5,1,5
monitor international market performance,6,2,2
Pascal (computer programming),10,3,0
test construction material samples,5,1,2
zoo community,8,3,0
apply airport standards and regulations,1,5,3
manage loan administration,4,6,1
handle helpdesk problems,6,1,0
apply regulations on cargo transport operations,1,2,2
facilitate coated workpieces to dry,5,4,1
agronomy,8,0,3
advertise the gallery,4,6,1
proofing methods,5,3,2
aircraft marshalling signals,1,5,3
measure oil tank temperatures,3,5,0
study radar images,3,5,3
plan retail space,6,3,2
assist in the conducting of flight checks,1,5,2
provide advanced clinical practice in physiotherapy,0,1,8
collect briefing regarding products,1,4,2
write emergency instructions for handling of dangerous goods,1,2,1
advise customers on crafts,6,3,3
modify casts for prostheses,0,1,2
develop company strategies,2,3,5
determine origin of gemstones,5,2,2
insert coquille structures,5,0,6
pharmacotherapy,0,1,0
instruct clients on the usage of office equipment,6,4,0
manage digital libraries,7,0,0
soil science,3,5,3
primary care,0,1,0
redirect callers,10,2,2
perform forensic accounting,2,4,1
use art in a therapeutic setting,0,3,0
evaluate humanitarian programme proposals,2,0,0
develop financial statistics reports,6,2,3
prepare deck equipment,1,2,0
gemology,5,2,2
advise customers on audiology products,6,0,7
send medical samples,0,1,2
perform rail track inspections,1,1,4
perform general maintenance on ship exteriors,5,2,0
install low voltage wiring,10,2,2
use person-centred planning,0,0,2
philosophical schools of thought,7,3,2
operate pumps in aquaculture facilities,8,4,3
precision measuring instruments,3,3,1
maintain customer records,6,0,3
handle fragile items,1,1,0
report accounts of the professional activity,2,2,1
take referrals for genetic testing,0,1,2
identify improvement actions,3,1,2
maintain dimmer equipment,4,1,1
tobacco manufacturing regulations,1,0,2
research welding techniques,3,4,0
perform account allocation,2,4,1
feed livestock,8,3,3
grant concessions,2,1,3
work with veterinarians,8,3,3
inspect drainage channels,5,1,3
aquaculture production planning software,8,4,2
transportation sector policies,2,0,5
arrange permits,4,3,3
plastic resins,5,0,3
teach art studies class,7,1,1
determine the sex of the animal,8,3,3
identify damage to buildings,2,4,0
assess debtor's financial situation,2,4,3
tufting technology,9,2,1
work on uneven surfaces,1,1,0
screen television series pilots,4,3,4
construct individual learning plans,7,4,0
radiation physics in healthcare,0,1,3
monitor contractor performance,2,4,0
supervise waste disposal,3,0,3
prepare ceremonial locations,1,3,2
plan a recording,4,1,3
ground segment,1,5,2
oversee record management,0,1,2
preset props,4,1,2
ensure compliance with company regulations,2,3,1
fill the vat with specific ingredients,5,0,4
SAP Data Services,10,0,0
wine characteristics,1,3,1
"heating, ventilation, air conditioning and refrigeration parts",3,4,2
operate distillation equipment,3,5,0
telemarketing,2,3,0
operate oxy-fuel welding torch,5,4,0
operate headbox,5,3,1
prevent premature drying,5,1,2
work out orchestral sketches,4,2,0
operate rollers,5,0,0
manage access programmes,7,4,1
monitor the discharge of cargo,1,2,1
clinical science,0,1,4
review construction projects,3,5,2
communicate with local residents,3,4,3
orthoptics,0,1,0
employ assessment techniques to anticipate translation efforts,4,0,0
monitor rail laying machine,5,1,3
operate pyrotechnical control,4,1,2
adjust cochlear implants,0,1,5
multi-professional cooperation in health care,0,1,1
prepare assembled moulds for finishing,5,0,6
inheritance council practices,4,6,1
construction equipment related to building materials,6,0,0
operate 3D computer graphics software,10,1,2
handle feathers,8,3,3
interview animal owners on animals' conditions,8,3,1
perform balance sheet operations,2,4,1
set up pyrotechnical equipment,4,1,2
design dolls,5,0,1
protect game,8,2,0
monitor educational developments,7,1,2
clean animal body parts,8,3,4
graphite,5,0,6
child protection,0,0,1
maintain recirculation systems,8,4,2
data storage,10,0,2
assist in performing physical exercises,0,1,6
demonstrate products' features,6,1,1
drive carriage,8,1,2
replace defect components,3,1,0
fill etchings,5,2,2
position engraving equipment,5,2,2
honey extractors types,1,0,1
reinforce concrete,5,1,5
conduct training on biomedical equipment,3,4,2
supervise special visitors,4,6,1
electroplating machine parts,5,4,1
ensure steady circulation of trams,1,1,3
advise on teaching methods,7,4,1
inspect trees,8,2,4
apply proofing membranes,5,1,2
perform diagnostic imaging procedures,0,1,3
provide emergency training,1,7,0
maintain coquille parts,5,0,6
provide advice on travel destinations,4,6,1
oversee assembly operations,3,4,0
silvering,5,0,5
desktop publishing,4,5,0
calibrate electronic instruments,3,1,2
prepare documents for scanning,5,3,2
drive waste collection vehicle,1,1,1
operate stage movement control system,4,1,1
coordinate new sites preparation,8,2,2
horary astrology,6,4,2
drying methods,5,3,1
keep company,1,3,0
develop original melodies,0,3,0
apply procedures to ensure cargo complies with customs regulations,1,2,1
mechanical clocks,6,4,1
manage environmental impact,3,5,2
appropriate packaging of dangerous goods,1,1,5
measure call quality,2,3,0
condense information,4,0,1
plot lighting states,4,1,1
sell household appliances,6,4,0
solder electronics,3,3,1
assess environmental influences on bovine feet,8,1,1
perform therapeutic drug monitoring,0,1,0
foreign affairs policy development,2,0,2
secure cargo on ships,1,2,0
report to gaming manager,4,4,0
clean marble furniture,5,2,0
follow-up actions resulting from railway facilities inspections,1,1,4
shine shoes,6,4,0
impact of geological factors on mining operations,3,5,0
maintain plants' growth,8,0,2
operate voice picking systems,1,1,0
evaluate translation technologies,10,4,0
work independently in forestry services,8,2,3
tend centrifuge machines,1,0,3
modern brewing systems,1,0,1
manage process of flexographic print,5,3,2
ensure regulatory compliance in pipeline infrastructures,3,0,0
organise technical operating information for vehicles,1,1,2
operate biological filtration,8,4,0
use weaving machine technologies,9,2,1
manage production systems,3,0,3
methods of drying timber,5,0,5
ICT network cable limitations,10,2,2
manage humanitarian aid,2,0,0
fibreglass laminating,5,2,0
finish mortar joints,5,1,5
tropical medicine,0,1,6
musical instruments materials,5,2,3
physiology of animals,8,3,1
maintain nets,8,4,0
install newel posts,5,1,2
quantum mechanics,3,2,1
procedural law,2,1,2
bioethics,0,1,2
develop measuring equipment,3,2,1
evaluate psychological health measures,0,3,1
health education,0,1,4
keep signs legible,1,5,3
present a cause,2,0,3
assess clients' drug and alcohol addictions,0,0,1
demonstrate a technical foundation in musical instruments,7,3,1
install electrical and electronic equipment,3,1,1
computer programming,10,3,0
transplantation,0,1,2
provide information on geothermal heat pumps,3,5,2
handle tour contract details,6,4,3
keep up with trends,4,1,2
weld in hyperbaric conditions,5,1,1
buy advertising space,2,2,2
use metalworking tools,5,4,0
vessel safety equipment,1,2,0
sharpen edged tools,5,3,1
monitor fields,8,0,1
tend dry-press,5,0,6
yeast fermentation principles,1,0,1
interpret sport games rules,4,4,2
organise performance space,4,3,2
encourage healthy behaviours,0,3,1
fish welfare regulations,8,4,1
migrate existing data,10,3,1
improve translated texts,4,0,0
sell pet accessories,6,0,0
manage aquatic habitat,8,4,1
harvest grapes,8,0,3
manage tender processes,3,4,3
show diplomacy,2,1,1
food policy,1,4,4
check sensorial parameters of oils and fats,1,0,3
use traditional toolbox tools,1,1,5
ensure soil fertility,8,0,1
carry out aerial tree rigging,8,2,4
geostationary satellites,1,5,1
register death,2,1,4
store film reels,4,7,0
remove defective products,3,1,0
manage carriers,1,2,1
rear food fish,8,4,2
manage internal process of a sport organisation,2,3,6
operate masonry power saw,5,1,5
maintain forest inventory,8,2,3
accompany people,1,3,0
microassembly,3,3,1
provide customer follow-up,6,1,0
think proactively,6,2,1
perform tree thinning,8,2,4
brief staff on daily menu,1,3,1
supervise well operations,3,5,0
maintain vessel technical equipment according to instructions,1,2,2
sand wood,5,2,1
perform music solo,4,2,1
warehousing regulations,1,1,0
protect health and safety when handling animals,8,3,1
operate an audio mixing console,4,1,3
local area tourism industry,6,4,3
get involved in the day-to-day operation of the company,2,3,5
manage medical supply chains,0,1,0
pellet standards,5,0,2
cut resilient flooring materials,5,1,4
analyse legal evidence,2,1,2
teach translation techniques,7,4,0
anatomy of animals,8,3,1
assist VIP guests,1,3,1
music therapy processes,0,3,0
recommend market-related measures,2,2,2
exercise stewardship,2,3,5
set up tote board,4,4,3
build scaffolding,5,1,4
consult with stakeholders on implementation of a production,4,1,1
manage office appliance requirements,2,3,3
risk assessment for window cleaning,1,3,0
launching of satellites into orbit,3,4,1
inspect cargo,1,7,0
data quality assessment,10,0,2
interpret languages in conferences,4,0,2
prevent technical problems with musical instruments,4,1,3
manage government-funded programmes,2,0,5
audio technology,4,3,4
hearing disability,7,4,2
perform test run,5,4,3
handle frozen semen,8,3,1
perform physico-chemical analysis to food materials,1,4,3
power plant instrumentation,3,1,0
formulate a case conceptualisation model for therapy,0,3,1
milk production process,1,0,3
encourage teams for continuous improvement,3,4,0
traceability in food industry,1,4,2
teach driving practices,7,2,2
handle returns,1,1,0
assist in children's development of basic personal skills,7,4,2
evaluate benefit plans,2,1,1
Latin,2,0,4
position core workpieces,5,0,6
work with hot nitrogen,3,2,0
coordinate marketing plan actions,2,2,1
healthcare data systems,0,1,3
palliative settings,0,3,0
advise on learning methods,7,4,1
perform welding inspection,3,4,0
interpret findings from medical examinations,0,1,8
leather products maintenance,6,0,0
asphalt mixes,5,1,3
perform demanding weldments,3,4,0
manufacturing of different chilled prepared meals,1,0,4
use chemical analysis equipment,3,2,0
prepare salad dressings,1,3,3
provide psychological interventions to chronically ill persons,0,3,1
coordinate with creative departments,4,3,2
record multi-track sound,4,5,1
evaluate advertising campaign,2,2,2
IPC standards,3,1,0
stack empty pallets,5,0,4
observe abnormal fish behaviour,8,4,0
demagnetise watches,6,4,1
evaluate project plans,2,3,2
explosives,5,0,4
use sanding machines,5,2,1
evaluate entertainment programme,2,3,4
manage time in casting processes,5,0,6
supervise site maintenance,4,3,3
clean honey from pollen,1,0,1
consumer electronics,3,3,1
provide directions in music therapy sessions,0,3,0
airport lighting equipment,1,5,3
monitor field surveys,2,2,3
mark designs on metal pieces,5,2,1
assist in the administration of fluids to animals,8,3,1
agricultural chemicals,3,0,3
produce different surface finishes,5,0,7
trade future commodities,2,4,2
make decisions regarding landscaping,8,0,2
evaluate events,2,0,1
manage grant applications,2,1,3
develop outreach training plans,8,4,2
manage distribution of destination promotional materials,2,3,4
apply medical imaging techniques,0,1,3
identify the healthcare user’s personal capacity,0,1,6
perform comprehensive eye examinations,0,1,0
instructional design models,10,1,0
tobacco brands,6,0,0
evaluate focus of community arts practice,4,6,0
hardware testing methods,3,3,1
record furnace operations,5,0,1
lead a team,4,1,0
use squaring pole,5,1,2
rehabilitate worn dentition,0,1,0
operate train integrated electronic control centre,1,1,4
electron beam welding machine parts,5,4,0
geology,3,5,0
thermodynamics,3,4,2
select equipment required for moving activities,1,1,5
repair power tools,3,1,0
perform technically demanding tasks,3,0,3
kinanthropometry,0,1,1
classical antiquity,7,3,0
engage with rail stakeholders,1,1,4
organic farming,8,0,3
harvest live aquatic species,8,4,0
analyse call centre activities,2,3,0
carry out railway accident investigations,1,1,4
chemistry,3,5,0
apply road transport environmental measures,1,1,2
manage canopy,8,0,3
assess the development of youth,0,0,1
analyse scanned data of the body,9,0,0
apply nail polish,6,4,0
Earth science,7,1,1
use body adornment equipment,5,0,2
design job analysis tools,2,1,1
provide advice to emergency callers,0,1,4
perform customer management,2,3,0
make independent operating decisions,8,0,1
assemble batteries,3,1,0
counsel patients on improving speech,0,1,5
strive for harmonious architectural constructions,3,4,3
assess risk in the outdoors,1,6,0
secure premises,1,7,0
plan advanced nursing care,0,1,0
purchase fruits and vegetables,6,3,1
store raw milk,1,0,3
write production reports,3,5,0
report on possible hazards,1,3,3
manage electronic logistics for sound equipment,4,6,0
educate public on fire safety,1,7,1
manufacture nonwoven staple products,9,2,2
time-display methods,6,4,1
write horoscopes,6,4,2
European Train Control System,3,1,2
speak different languages,6,2,0
introduce new employees,2,1,1
attention to detail,4,3,4
dispose medical waste,0,1,2
coordinate engineering teams,3,3,3
liaise with distribution channel managers,2,2,1
carpentry,5,1,5
signal boxes,1,1,4
design cider recipes,1,0,1
play musical instruments,7,3,1
shunt inbound loads,1,1,4
student financial aid programmes,2,4,2
safety regulations for warehouses,1,1,0
develop online community plan,2,2,1
rebuff tyre,5,0,0
create new landscape designs,8,0,2
forensic anthropology,7,1,0
plan art educational activities,4,6,0
advise on consumer rights,2,0,0
set up dates,6,4,2
wash the dishes,1,3,0
translate texts,4,0,0
research your target community,4,6,0
locate fossils,3,2,1
coordinate shifts,8,4,2
work effectively with other animal-related organisations,8,3,0
analyse apple juice for cider production,1,0,1
construction legal systems,3,4,3
design thermal equipment,3,0,1
develop pharmaceutical drugs,3,2,0
complementary and alternative medicine,0,1,1
check borehole depth,5,1,1
dangers of marshalling activity,1,5,3
adjust video transmissions,4,3,4
supervise property development projects,2,4,0
tend lehr,5,0,5
assess social work students,0,0,1
present detailed design proposals,4,1,0
crimping,3,1,0
analyse animal locomotion,8,1,2
work from suspended access cradle,5,1,4
handle registered mail,6,1,2
human resources department processes,2,1,1
adapt fighting techniques for performance,4,3,1
commercial law,2,1,2
clean oil processing units,3,5,0
report well results,3,5,0
plant disease control,8,0,2
manage capture broodstock operations,8,4,3
store semen for future use on livestock,8,3,1
apply change management,0,0,2
adolescent socialisation behaviour,7,3,4
plan weapon use on stage,4,1,2
advise on vehicle characteristics,6,0,1
thermal treatment,3,5,1
brief court officials,2,1,2
maintenance of printing machines,5,3,2
tune stringed musical instruments,5,2,3
types of engraving needles,5,4,0
conduct military music services,1,7,3
